id,handle,first_name,last_name,email,street,city,state,gender_identity,real_food_affinity,luxury_brand_affinity,tech_gadget_affinity,travel_affinity,cost_per_impression
1,vwykey0,Valerye,Wykey,vwykey0@ezinearticles.com,6 Surrey Avenue,Dallas,Texas,Male,0.45,0.41,0.75,0.77,10
2,lbrundale1,Lucienne,Brundale,lbrundale1@bloomberg.com,993 New Castle Court,Tacoma,Washington,Genderfluid,0.92,0.45,0.87,0.34,5
3,dbarthot2,Derrik,Barthot,dbarthot2@go.com,87 Grayhawk Road,Washington,District of Columbia,Non-binary,0.28,0.03,0.46,0.09,89
4,shemphrey3,Sigfrid,Hemphrey,shemphrey3@yale.edu,14639 Elka Pass,Sacramento,California,Polygender,0.38,0.1,0.14,0.29,56
5,nzoephel4,Norrie,Zoephel,nzoephel4@imgur.com,9315 Marcy Road,Van Nuys,California,Male,0.08,0.47,0.32,0.78,12
6,eorring5,Erik,Orring,eorring5@etsy.com,02 Brickson Park Terrace,Albany,New York,Agender,0.82,0.36,0.71,0.64,87
7,smickleborough6,Shepherd,Mickleborough,smickleborough6@flavors.me,6920 Buhler Place,Houston,Texas,Agender,0.31,0.38,0.85,0.19,20
8,mgonin7,Marcelline,Gonin,mgonin7@gizmodo.com,503 Lawn Court,Miami,Florida,Polygender,0.77,0.04,0.94,0.58,20
9,kambroise8,Katy,Ambroise,kambroise8@ning.com,8901 Graedel Terrace,Gainesville,Florida,Genderfluid,0.6,0.6,0.22,0.97,7
10,lgoodwyn9,Lynnett,Goodwyn,lgoodwyn9@furl.net,2 Morning Road,Phoenix,Arizona,Agender,0.69,0.52,0.29,0.56,62
11,ktrewhellaa,Keary,Trewhella,ktrewhellaa@un.org,748 Esch Drive,Sacramento,California,Non-binary,0.68,0.18,0.15,0.15,94
12,vchristofolb,Viola,Christofol,vchristofolb@booking.com,91066 Dapin Junction,Rochester,New York,Agender,0.77,0.66,0.45,0.7,19
13,vmontgomeryc,Vassily,Montgomery,vmontgomeryc@independent.co.uk,96812 Dapin Way,Albuquerque,New Mexico,Agender,0.22,0.93,0.73,0.15,56
14,cdavenalld,Christan,Davenall,cdavenalld@cmu.edu,8 Sage Avenue,Flint,Michigan,Genderfluid,0.51,0.06,0.68,0.42,89
15,dtallante,Drew,Tallant,dtallante@ebay.co.uk,2 Meadow Valley Crossing,New York City,New York,Genderqueer,0.3,0.98,0.4,0.14,19
